序号	单词	音标	词性（中文）	中文释义	出现次数	首次出现故事	例句
1160	innocently			天真地	1	16	前世的一幕幕在她脑海中不断replay(重演)。她曾经innocently(天真地)相信亲情，却被treacherous(阴险的)的继母和继妹manipulate(操控)。她们fabricate(捏造)证据，让她背负false(虚假的)罪名，最终deprive(剥夺)了她的一切。如今重生归来，她表面...
1161	investor	/ɪnˈvɛstɚ/	noun	投资人	3	16	苏瑶决定以商业investor(投资人)的身份penetrate(渗透)仇人的公司。她准备了abundant(充足的)资金和一份impeccable(无懈可击的)的商业计划书。在negotiate(谈判)过程中，她表现得professional(专业)而有诚意，让对方完全放松了alert(警惕)。每...
1162	keenly	/ˈkiːnli/	adverb	敏锐地	1	16	今天的任务是接近当年的仇人集团。苏瑶keenly(敏锐地)注意到必须小心行事，不能暴露真实identity(身份)。她反复推敲每一个步骤，寻找最佳的breakthrough(突破口)。这是一个需要patience(耐心)和wisdom(智慧)的过程。她never(从不)忘记仇恨，always(总是)...
1163	manipulate	/məˈnɪpjʊleɪt/	verb	操控	2	16	前世的一幕幕在她脑海中不断replay(重演)。她曾经innocently(天真地)相信亲情，却被treacherous(阴险的)的继母和继妹manipulate(操控)。她们fabricate(捏造)证据，让她背负false(虚假的)罪名，最终deprive(剥夺)了她的一切。如今重生归来，她表面...
1164	mansion	/ˈmæn(t)ʃən/	noun	别墅	1	16	豪华的mansion(别墅)里，苏瑶正contemplate(深思)着她的复仇计划。作为重生归来的heir(继承人)，她vividly(清晰地)记得前世是如何被betray(背叛)的。那些曾经conspire(密谋)陷害她的人，现在都要付出due(应得的)代价。她深知复仇之路arduous(艰难)，...
1165	meticulously			细致地	1	16	豪华的mansion(别墅)里，苏瑶正contemplate(深思)着她的复仇计划。作为重生归来的heir(继承人)，她vividly(清晰地)记得前世是如何被betray(背叛)的。那些曾经conspire(密谋)陷害她的人，现在都要付出due(应得的)代价。她深知复仇之路arduous(艰难)，...
1166	negotiate		verb	谈判	4	16	苏瑶决定以商业investor(投资人)的身份penetrate(渗透)仇人的公司。她准备了abundant(充足的)资金和一份impeccable(无懈可击的)的商业计划书。在negotiate(谈判)过程中，她表现得professional(专业)而有诚意，让对方完全放松了alert(警惕)。每...
1167	ostentatious	/ˌɒs.tənˈteɪ.ʃəs/	adjective	炫耀	1	16	在一次商业gala(晚会)上，苏瑶终于见到了前世的仇人——继母林婉如和继妹林雨萱。她们依旧ostentatious(炫耀)而arrogant(傲慢)，完全没有suspect(怀疑)眼前这个elegant(优雅)的投资人就是她们曾经陷害的苏瑶。苏瑶微笑着与她们寒暄，心中却已经outline(勾勒)出复...
1168	perfect	/ˈpɜː.fɛkt/	noun, adjective	完美	10	16	苏瑶暗中assemble(收集)证据，每一份文件、每一条转账记录、每一次suspicious(可疑的)的对话都被她record(记录)下来。她nervous(紧张)但同时也confident(自信)，因为她知道正义终将prevail(获胜)。她spend(花费)了大量时间和精力调查真相，只为等待一个...
1169	ponder	/ˈpɒn.də(ɹ)/	noun, verb	思索	1	16	接近过程中，苏瑶遇到了一个棘手的难题。她发现当年的仇人已经成为了商业巨头，势力enormous(庞大的)，人脉extensive(广泛的)。她worried(担忧)地思考对策，尝试了多种方法。经过反复ponder(思索)，最终她决定adopt(采用)更subtle(巧妙)的策略——从仇人的合作伙伴入...
1170	prevail	/pɹɪˈveɪl/	verb	获胜	5	16	苏瑶暗中assemble(收集)证据，每一份文件、每一条转账记录、每一次suspicious(可疑的)的对话都被她record(记录)下来。她nervous(紧张)但同时也confident(自信)，因为她知道正义终将prevail(获胜)。她spend(花费)了大量时间和精力调查真相，只为等待一个...
1171	proudly	/ˈpɹaʊdli/	adverb	自豪地	1	16	机会终于在一场grand(盛大)的商业晚宴上到来。当晚，仇人集团将举办发布会，宣布重大商业计划。苏瑶提前安排好了一切，准备在crucial(关键)时刻公开真相。当继母林婉如正proudly(自豪地)演讲时，大屏幕突然切换，显示出所有犯罪的evidence(证据)。
1172	replay		noun, verb	重演	1	16	前世的一幕幕在她脑海中不断replay(重演)。她曾经innocently(天真地)相信亲情，却被treacherous(阴险的)的继母和继妹manipulate(操控)。她们fabricate(捏造)证据，让她背负false(虚假的)罪名，最终deprive(剥夺)了她的一切。如今重生归来，她表面...
1173	substantial	/səbˈstænʃəl/	noun, adjective	可观的	1	16	苏瑶开始systematically(系统地)收集情报。她utilize(利用)自己重生者的优势，提前知晓某些商业走向，做出精准的投资决策，很快在商界accumulate(积累)了substantial(可观的)财富。这些资源为她后续的复仇行动提供了solid(坚实的)基础。她深知opportuni...
1174	supervise		verb	监督	1	16	苏瑶创办了一家法律foundation(基金会)，专门为无法负担律师费的人提供法律assistance(援助)。她亲自supervise(监督)每一个案件的进展，确保正义得到伸张。基金会的成功让她成为商界和公益界的legend(传奇)人物，她的故事激励了无数人勇敢pursue(追求)正义。
1175	suspicious	/səˈspɪ.ʃəs/	adjective	可疑的	2	16	苏瑶暗中assemble(收集)证据，每一份文件、每一条转账记录、每一次suspicious(可疑的)的对话都被她record(记录)下来。她nervous(紧张)但同时也confident(自信)，因为她知道正义终将prevail(获胜)。她spend(花费)了大量时间和精力调查真相，只为等待一个...
1176	systematically		adverb	系统地	2	16	苏瑶开始systematically(系统地)收集情报。她utilize(利用)自己重生者的优势，提前知晓某些商业走向，做出精准的投资决策，很快在商界accumulate(积累)了substantial(可观的)财富。这些资源为她后续的复仇行动提供了solid(坚实的)基础。她深知opportuni...
1177	treacherous	/ˈtɹɛtʃəɹəs/	adjective	阴险的	1	16	前世的一幕幕在她脑海中不断replay(重演)。她曾经innocently(天真地)相信亲情，却被treacherous(阴险的)的继母和继妹manipulate(操控)。她们fabricate(捏造)证据，让她背负false(虚假的)罪名，最终deprive(剥夺)了她的一切。如今重生归来，她表面...
1178	utilize	/ˈjuːtɨlaɪz/	verb	利用	1	16	苏瑶开始systematically(系统地)收集情报。她utilize(利用)自己重生者的优势，提前知晓某些商业走向，做出精准的投资决策，很快在商界accumulate(积累)了substantial(可观的)财富。这些资源为她后续的复仇行动提供了solid(坚实的)基础。她深知opportuni...
1179	vindicate		verb	洗清	1	16	复仇successful(成功)。苏瑶proud(自豪)地看着正义得到伸张，内心涌起一种复杂的情绪。她帮助警方recover(追回)了被骗的投资款，让受害者得到compensate(补偿)。所有人都为她的courage(勇气)和justice(正义)感到敬佩，她终于为自己vindicate(洗清)了...
1180	vividly	/ˈvɪvɪdli/	adverb	清晰地	1	16	豪华的mansion(别墅)里，苏瑶正contemplate(深思)着她的复仇计划。作为重生归来的heir(继承人)，她vividly(清晰地)记得前世是如何被betray(背叛)的。那些曾经conspire(密谋)陷害她的人，现在都要付出due(应得的)代价。她深知复仇之路arduous(艰难)，...
1181	worried	/ˈwʌɹid/	adjective, verb	担忧	27	16	接近过程中，苏瑶遇到了一个棘手的难题。她发现当年的仇人已经成为了商业巨头，势力enormous(庞大的)，人脉extensive(广泛的)。她worried(担忧)地思考对策，尝试了多种方法。经过反复ponder(思索)，最终她决定adopt(采用)更subtle(巧妙)的策略——从仇人的合作伙伴入...
1182	announce	/əˈnaʊns/	verb	宣布	4	17	那天，他误以为苏瑶betray(背叛)了他，在婚礼上当众announce(宣布)取消婚约，让她在所有宾客面前humiliate(羞辱)。事后他才发现，一切都是误会，她从未背叛过他。他记得她的笑容，记得她的温柔，记得她对他的一切付出。他内心充满了guilt(愧疚)和自责，不知如何弥补。他always(...
1183	confront	/kɒnˈfɹɒnt/	verb	面对	1	17	他承认自己太arrogant(傲慢)，太impulsive(冲动)，从未真正trust(信任)过她。他总是以自我为中心，ignore(忽视)她的感受。他从未想过，一个误会会让他失去最爱的人。他never(从不)承认错误，always(总是)用冷漠掩饰，但现在他知道，如果继续这样下去，他将永远失去她。...
1184	cut	/kʌt/	noun, verb, adjective	切断	1	17	反思过程中，顾辰遇到了一个critical(关键)的难题。他发现她已经彻底离开，不再相信爱情。她辞去了工作，搬走了住处，cut(切断)了和他的一切联系。他panicked(恐慌)地寻找她的踪迹，尝试了各种方法——打电话、发信息、联系她的朋友，但都毫无结果。他感到一种深深的helpless(无助)和d...
1185	genuinely		adverb	真正地	1	17	顾辰spend(花费)了大量时间追求，每一天都在努力improve(改进)自己。他学会了listen(倾听)，学会了care(关心)，学会了respect(尊重)她的感受。他发现，原来爱情需要equality(平等)和trust(信任)。他开始genuinely(真正地)关心她的喜怒哀乐，不再像以前...
1186	humiliate	/hjuːˈmɪliˌeɪt/	verb	羞辱	2	17	那天，他误以为苏瑶betray(背叛)了他，在婚礼上当众announce(宣布)取消婚约，让她在所有宾客面前humiliate(羞辱)。事后他才发现，一切都是误会，她从未背叛过他。他记得她的笑容，记得她的温柔，记得她对他的一切付出。他内心充满了guilt(愧疚)和自责，不知如何弥补。他always(...
1187	impulsive			冲动	3	17	他承认自己太arrogant(傲慢)，太impulsive(冲动)，从未真正trust(信任)过她。他总是以自我为中心，ignore(忽视)她的感受。他从未想过，一个误会会让他失去最爱的人。他never(从不)承认错误，always(总是)用冷漠掩饰，但现在他知道，如果继续这样下去，他将永远失去她。...
1188	sit			坐	1	17	豪华的总裁办公室里，顾辰正独自sit(坐)在窗前，regret(后悔)着自己的冲动决定。作为商界的霸总，他因为一个误会而亲手毁了和苏瑶的wedding(婚礼)。此刻他终于意识到自己错了，错得terrible(彻底)。办公室里cold(冰冷)而空旷，他孤独地recall(回忆)着过往的点点滴滴。
1189	terrible			彻底	1	17	豪华的总裁办公室里，顾辰正独自sit(坐)在窗前，regret(后悔)着自己的冲动决定。作为商界的霸总，他因为一个误会而亲手毁了和苏瑶的wedding(婚礼)。此刻他终于意识到自己错了，错得terrible(彻底)。办公室里cold(冰冷)而空旷，他孤独地recall(回忆)着过往的点点滴滴。
1190	thin			消瘦	5	17	"当门打开的那一刻，他看到了她surprised(惊讶)的脸庞。她比记忆中更加thin(消瘦)，眼神中带着一丝tired(疲惫)和cold(冷漠)。""你为什么来？""她ask(问)道，声音distant(疏远)而平静。顾辰看着她，心中涌起强烈的emotion(情感)。"
1191	wedding			婚礼	2	17	豪华的总裁办公室里，顾辰正独自sit(坐)在窗前，regret(后悔)着自己的冲动决定。作为商界的霸总，他因为一个误会而亲手毁了和苏瑶的wedding(婚礼)。此刻他终于意识到自己错了，错得terrible(彻底)。办公室里cold(冰冷)而空旷，他孤独地recall(回忆)着过往的点点滴滴。
1192	adventure			冒险	3	18	发现彼此心意后，他们开始暗中交往。他们选择在公司之外的地方见面，小心翼翼地hide(隐藏)着自己的关系。每一次约会都像是一次adventure(冒险)，既紧张又刺激。她发现，真正的爱情值得冒险。爱情需要勇气和sincere(真诚)。
1193	blame			责备	2	18	相处过程中，陈悦遇到了一个difficult(困难)的问题。她发现他也对自己有好感，经常在关键时刻保护她。比如当她工作出现失误时，他会帮她correct(纠正)，而不是blame(责备)她；当她加班到很晚时，他会提醒她注意休息。这些细节让她开始怀疑，他是否也对自己有感情。
1194	busy			忙碌	30	18	一旦被发现，不仅会面临dismiss(解雇)的风险，更会影响彼此的career(职业)发展。但感情一旦产生，就很难控制。办公室里busy(忙碌)而紧张，她努力focus(专注)于工作，尽量避免和他有过多的接触。她内心有些conflict(矛盾)，既期待见到他，又害怕面对他。她always(总是)保持...
1195	confused			困惑	14	18	她confused(困惑)地分析自己的感情，试图保持理智。但每当看到他的笑容，听到他的声音，她的心就会不自觉地beat(跳动)加速。最终，她决定勇敢面对这份感情。发现需要勇气，她finally(终于)承认感情。她surprised(惊讶)于他的回应，感情开始blossom(萌芽)。
1196	deep			深厚	17	18	她brave(勇敢)面对挑战，sincere(真诚)对待感情。她nervous(紧张)但同时也happy(幸福)。她spend(花费)时间经营爱情，用真心守护这份来之不易的感情。每一次秘密的约会，都让他们的感情更加deep(深厚)。
1197	dismiss			解雇	2	18	一旦被发现，不仅会面临dismiss(解雇)的风险，更会影响彼此的career(职业)发展。但感情一旦产生，就很难控制。办公室里busy(忙碌)而紧张，她努力focus(专注)于工作，尽量避免和他有过多的接触。她内心有些conflict(矛盾)，既期待见到他，又害怕面对他。她always(总是)保持...
1198	taboo			禁忌	1	18	忙碌的写字楼里，陈悦正prepare(准备)着部门会议的资料。作为部门经理的助理，她发现自己对上司——张总，产生了special(特别)的感情。每一次相处都心跳accelerate(加速)，每一份工作都承载着暗恋的secret(秘密)。她深知职场恋情的taboo(禁忌)，公司有明确的规定禁止上下级之...
1199	argue			争论	2	19	今天是一场重要的团队作业，老师要求全班自由组队。林明注意到被迫和苏瑶一组，气氛十分尴尬。他们反复争论，无法达成一致。这是一个需要cooperation(合作)和妥协的过程，但他们谁也不愿意让步。他们never(从不)轻易让步，always(总是)坚持己见。他们argue(争论)观点，refuse(拒...
1200	enemy			冤家	3	19	热闹的大学校园里，林明和苏瑶是公认的enemy(冤家)。作为同班同学，他们因为一次误会而成为敌人，已经整整一年了。每一次相遇都充满火药味，每一句话都带着刺。他们深知彼此的敌意，却都不愿意低头。那个误会发生在一年前，当时林明无意中听到苏瑶在和朋友说话，似乎在嘲笑他。
1201	forced			被迫	1	19	"他forced(被迫)开始思考如何打破僵局。终于，在一次激烈的争吵后，林明深吸一口气，决定打破沉默。""我们能不能好好谈谈？""他尽量让自己的声音calm(平静)，""如果我们继续这样，谁都无法完成作业。""苏瑶沉默了片刻，最终点了点头。""好，那我们就把话说清楚。"""
1202	refuse			拒绝	2	19	今天是一场重要的团队作业，老师要求全班自由组队。林明注意到被迫和苏瑶一组，气氛十分尴尬。他们反复争论，无法达成一致。这是一个需要cooperation(合作)和妥协的过程，但他们谁也不愿意让步。他们never(从不)轻易让步，always(总是)坚持己见。他们argue(争论)观点，refuse(拒...
1203	shake			摇头	2	19	团队作业的deadline(截止日期)越来越近，他们却毫无进展。其他组都已经在分工合作，只有他们还在争吵。同学们都对他们shake(摇头)，觉得他们不可能完成作业。合作过程中，他们遇到了一个critical(关键)的问题。项目需要两人的共同努力，否则都会失败。林明开始意识到，如果继续这样下去，不仅作...
1204	story			故事	13	19	他们firmly(坚定地)相信友谊的力量，promise(承诺)会一直珍惜彼此。他们的友谊成为了校园里最动人的story(故事)，让所有人都相信，误会不是终点，而是新的开始。
1205	testimony			见证	1	19	"某次班会上，他们分享了友谊理念：""误会是友谊的试金石。""台下同学深受启发，开始思考自己的友谊。班会现场applaud(响起掌声)。他们用亲身经历证明，勇气的力量可以解开误会，真诚的付出可以获得友谊。每个人都被他们inspire(启发)，他们感到无比happy(快乐)和fulfill(充实)。他们的故..."
1206	eternal			永恒	8	20	跨越千年，让张明感受到穿越的神奇和爱情的宿命。他决定用余生守护她，用勇气面对所有挑战。这是他选择的道路，也是他穿越的宿命。每一次付出，都是一次对爱情的诠释。这是他的承诺。他determine(决心)一生devote(奉献)给她，create(创造)幸福生活，让爱情更加eternal(永恒)，buil...
1207	mystery			神秘	1	20	他清楚地记得，穿越之前他正在参观一座古宅，突然一阵strange(奇异)的光芒闪过，他就失去了意识。当他再次醒来时，就发现自己躺在这座古宅的房间里。古宅里ancient(古老)而mystery(神秘)，他explore(探索)着环境，试图理解发生了什么。他内心充满了confuse(困惑)和不安，不知...
1208	remember			记住	8	20	"终于，在一个满月之夜，他面临ultimate(最终)的选择：回去还是留下。古宅里突然出现了那道熟悉的光芒，这是他回家的机会。只要走进光芒，他就可以回到现代，回到熟悉的生活。苏瑶看着他，眼中带着泪光。""无论你做什么选择，我都support(支持)你。""她soft(轻柔)地说道，""如果你回去，我会永远r..."
1209	ultimate			最终	2	20	"终于，在一个满月之夜，他面临ultimate(最终)的选择：回去还是留下。古宅里突然出现了那道熟悉的光芒，这是他回家的机会。只要走进光芒，他就可以回到现代，回到熟悉的生活。苏瑶看着他，眼中带着泪光。""无论你做什么选择，我都support(支持)你。""她soft(轻柔)地说道，""如果你回去，我会永远r..."
1210	actively			积极地	1	21	项目获得后，林悦的company(公司)规模迅速扩大。她从一个默默无闻的小职员，成长为商界的传奇人物。成长需要时间，她开始actively(积极地)拓展业务，carefully(小心地)管理公司。虽然偶尔会感到nervous(紧张)，但她同时也充满confident(自信)。她spend(投入)大量...
1211	battle			战役	2	21	繁华的商业区里，dawn(黎明)刚刚break(破晓)，林悦就已经drive(驾驶)前往公司。作为self-made(白手起家的)女企业家，她从一个小职员成长为商业女王，这背后的effort(努力)和persistence(坚持)无人知晓。每一次谈判都是一场battle(战役)，每一份合同都承载着梦...
1212	betrayal			背叛行为	1	21	在board(董事会)上，林悦bravely(勇敢地)揭露了合伙人的betrayal(背叛行为)。董事会成员都对她表示support(支持)，那位合伙人被expel(开除)。这次crisis(危机)让她更加成熟，也让她明白：商场如战场，必须时刻保持alert(警觉)。
1213	board			董事会	2	21	在board(董事会)上，林悦bravely(勇敢地)揭露了合伙人的betrayal(背叛行为)。董事会成员都对她表示support(支持)，那位合伙人被expel(开除)。这次crisis(危机)让她更加成熟，也让她明白：商场如战场，必须时刻保持alert(警觉)。
1214	bravely			勇敢地	1	21	在board(董事会)上，林悦bravely(勇敢地)揭露了合伙人的betrayal(背叛行为)。董事会成员都对她表示support(支持)，那位合伙人被expel(开除)。这次crisis(危机)让她更加成熟，也让她明白：商场如战场，必须时刻保持alert(警觉)。
1215	coffee			咖啡	3	21	回到office(办公室)，她反复prepare(准备)谈判策略，research(研究)对手的background(背景)和weakness(弱点)。她never(从不)轻言放弃，always(总是)全力以赴。桌上的文件堆积如山，她一杯接一杯地喝着coffee(咖啡)，直到midnight(午夜)...
1216	company			公司	3	21	项目获得后，林悦的company(公司)规模迅速扩大。她从一个默默无闻的小职员，成长为商界的传奇人物。成长需要时间，她开始actively(积极地)拓展业务，carefully(小心地)管理公司。虽然偶尔会感到nervous(紧张)，但她同时也充满confident(自信)。她spend(投入)大量...
1217	conference			会议	1	21	conference(会议)室里tense(紧张)的atmosphere(氛围)几乎让人suffocate(窒息)，林悦calmly(冷静地)地坐定，开始analyze(分析)对手的每一个strategy(策略)。她内心的calm(冷静)源于多年的experience(经验)，眼神中透着wisdom...
1218	confidently			自信地	2	21	今天的任务是争夺一个重要的城市project(项目)。林悦carefully(仔细地)注意到对手也在compete(竞争)这个项目，而且对方是一家powerful(强大的)的corporation(企业)。局势非常intense(激烈)，但她confidently(自信地)走进会议室，ready(准...
1219	corporation			企业	2	21	今天的任务是争夺一个重要的城市project(项目)。林悦carefully(仔细地)注意到对手也在compete(竞争)这个项目，而且对方是一家powerful(强大的)的corporation(企业)。局势非常intense(激烈)，但她confidently(自信地)走进会议室，ready(准...
1220	disrupt			打乱	2	21	谈判当天，林悦穿着elegant(优雅的)的职业装，confidently(自信地)走进会议室。对手突然改变策略，提出了更加优厚的条件，试图disrupt(打乱)她的计划。她shocked(震惊)但表面保持镇定，quickly(迅速地)调整tactic(战术)，寻找breakthrough(突破)口...
1221	expel			开除	2	21	在board(董事会)上，林悦bravely(勇敢地)揭露了合伙人的betrayal(背叛行为)。董事会成员都对她表示support(支持)，那位合伙人被expel(开除)。这次crisis(危机)让她更加成熟，也让她明白：商场如战场，必须时刻保持alert(警觉)。
1222	gently			温柔地	2	21	回到office(办公室)，她反复prepare(准备)谈判策略，research(研究)对手的background(背景)和weakness(弱点)。她never(从不)轻言放弃，always(总是)全力以赴。桌上的文件堆积如山，她一杯接一杯地喝着coffee(咖啡)，直到midnight(午夜)...
1223	hire			雇佣	2	21	危机过后，林悦开始reform(改革)公司制度，establish(建立)更加完善的system(系统)。她hire(雇佣)了一批talented(有才能的)的年轻人，给他们opportunity(机会)成长。她相信，一个企业的成功，离不开团队的effort(努力)。
1224	impressive			令人印象深刻的	2	21	conference(会议)室里tense(紧张)的atmosphere(氛围)几乎让人suffocate(窒息)，林悦calmly(冷静地)地坐定，开始analyze(分析)对手的每一个strategy(策略)。她内心的calm(冷静)源于多年的experience(经验)，眼神中透着wisdom...
1225	midnight			午夜	4	21	回到office(办公室)，她反复prepare(准备)谈判策略，research(研究)对手的background(背景)和weakness(弱点)。她never(从不)轻言放弃，always(总是)全力以赴。桌上的文件堆积如山，她一杯接一杯地喝着coffee(咖啡)，直到midnight(午夜)...
1226	night			夜晚	3	21	夜深了，林悦独自站在办公室的窗前，望着城市的night(夜晚)灯火。她想起多年前那个怀揣梦想的小女孩，如今已经站在了商界的顶峰。这一切不是accident(偶然)，而是无数个日夜的effort(努力)。她知道，未来还有更大的challenge(挑战)，但她已经准备好了。
1227	office			办公室	4	21	回到office(办公室)，她反复prepare(准备)谈判策略，research(研究)对手的background(背景)和weakness(弱点)。她never(从不)轻言放弃，always(总是)全力以赴。桌上的文件堆积如山，她一杯接一杯地喝着coffee(咖啡)，直到midnight(午夜)...
1228	powerful			强大的	8	21	今天的任务是争夺一个重要的城市project(项目)。林悦carefully(仔细地)注意到对手也在compete(竞争)这个项目，而且对方是一家powerful(强大的)的corporation(企业)。局势非常intense(激烈)，但她confidently(自信地)走进会议室，ready(准...
1229	problem			问题	5	21	随着公司的发展，林悦遇到了新的problem(问题)。一位senior(高级的)合伙人试图betray(背叛)她，私下接触竞争对手。林悦immediately(立即)发现这个conspiracy(阴谋)，但她没有panic(恐慌)。相反，她冷静地收集evidence(证据)，找来律师discuss(...
1230	project			项目	8	21	今天的任务是争夺一个重要的城市project(项目)。林悦carefully(仔细地)注意到对手也在compete(竞争)这个项目，而且对方是一家powerful(强大的)的corporation(企业)。局势非常intense(激烈)，但她confidently(自信地)走进会议室，ready(准...
1231	quickly			迅速地	3	21	谈判当天，林悦穿着elegant(优雅的)的职业装，confidently(自信地)走进会议室。对手突然改变策略，提出了更加优厚的条件，试图disrupt(打乱)她的计划。她shocked(震惊)但表面保持镇定，quickly(迅速地)调整tactic(战术)，寻找breakthrough(突破)口...
1232	ready	/ˈɹɛdi/	noun, verb, adjective	准备好的	2	21	今天的任务是争夺一个重要的城市project(项目)。林悦carefully(仔细地)注意到对手也在compete(竞争)这个项目，而且对方是一家powerful(强大的)的corporation(企业)。局势非常intense(激烈)，但她confidently(自信地)走进会议室，ready(准...
1233	reform	/ɹɪˈfɔːm/	noun, verb	改革	3	21	危机过后，林悦开始reform(改革)公司制度，establish(建立)更加完善的system(系统)。她hire(雇佣)了一批talented(有才能的)的年轻人，给他们opportunity(机会)成长。她相信，一个企业的成功，离不开团队的effort(努力)。
1234	secretary	/ˈsɛk.ɹə.tɹi/	noun, verb	秘书	1	21	回到office(办公室)，她反复prepare(准备)谈判策略，research(研究)对手的background(背景)和weakness(弱点)。她never(从不)轻言放弃，always(总是)全力以赴。桌上的文件堆积如山，她一杯接一杯地喝着coffee(咖啡)，直到midnight(午夜)...
1235	self-made		adjective	白手起家的	1	21	繁华的商业区里，dawn(黎明)刚刚break(破晓)，林悦就已经drive(驾驶)前往公司。作为self-made(白手起家的)女企业家，她从一个小职员成长为商业女王，这背后的effort(努力)和persistence(坚持)无人知晓。每一次谈判都是一场battle(战役)，每一份合同都承载着梦...
1236	system		noun	系统	2	21	危机过后，林悦开始reform(改革)公司制度，establish(建立)更加完善的system(系统)。她hire(雇佣)了一批talented(有才能的)的年轻人，给他们opportunity(机会)成长。她相信，一个企业的成功，离不开团队的effort(努力)。
1237	weight	/weɪt/	noun, verb	重量	1	21	繁华的商业区里，dawn(黎明)刚刚break(破晓)，林悦就已经drive(驾驶)前往公司。作为self-made(白手起家的)女企业家，她从一个小职员成长为商业女王，这背后的effort(努力)和persistence(坚持)无人知晓。每一次谈判都是一场battle(战役)，每一份合同都承载着梦...
1238	wonderful	/ˈwʌn.də.fl/	adjective, adverb	精彩	4	21	这是她的使命。她determine(决心)一生devote(奉献)给事业，achieve(实现)商业梦想，让人生更加wonderful(精彩)，build(建立)属于自己的传奇。她firmly(坚定地)相信奋斗的力量，promise(承诺)会一直坚持创业之路。
1239	anniversary	/ˌænɪˈvɜːs(ə)ɹi/	noun	纪念日	8	22	今天是他们的一周年anniversary(纪念日)。顾辰carefully(仔细地)注意到她最近工作很累，眼中时常流露着tired(疲惫)。她需要一场浪漫的surprise(惊喜)，让她忘记所有烦恼。他反复策划每一个细节，寻找最perfect(完美)的方式。
1240	apron	/ˈeɪ.pɹən/	noun, verb	围裙	1	22	"顾辰从厨房走出来，穿着neat(整洁的)的衬衫，系着她送的apron(围裙)。他微笑着走过来，轻轻接过她的bag(包)，在她额头印下一个吻。""欢迎回家，我的princess(公主)。"""
1241	bag	/ˈbæːɡ/	noun, verb	包	1	22	"顾辰从厨房走出来，穿着neat(整洁的)的衬衫，系着她送的apron(围裙)。他微笑着走过来，轻轻接过她的bag(包)，在她额头印下一个吻。""欢迎回家，我的princess(公主)。"""
1242	blessing	/ˈblɛs.ɪŋ/	verb, noun	祝福	7	22	"某次纪念日上，顾辰分享了他爱情理念：""霸道对外，温柔给她。""台下宾客感动落泪，为他们送上最真挚的blessing(祝福)。纪念日现场applaud(响起掌声)，他用亲身经历证明，温柔的力量可以守护爱情，真心的付出可以获得幸福。"
1243	breakfast	/ˈbɹɛkfəst/	noun, verb	早餐	2	22	"回到城市后，顾辰对她的关心更加frequent(频繁)。每天早上，他会为她准备breakfast(早餐)；每晚睡前，他会给她发一条""goodnight(晚安)""的消息。同事们都说，叶婉最近变得格外radiant(容光焕发)。"
1244	bright	/bɹaɪt/	noun, adjective	明亮	25	22	海边度假的一周，顾辰放下了所有工作，专心陪伴叶婉。他们看sunrise(日出)，看sunset(日落)，在沙滩上留下footprint(脚印)。叶婉的脸颊恢复了红润，笑容比以前更加bright(明亮)。顾辰知道，这才是他想要的。
1245	color	/ˈkʌl.ə(ɹ)/	noun, verb, adjective	气色	2	22	准备过程中，顾辰遇到了一个难题。他发现她因为工作压力而变得thin(消瘦)，原本红润的脸颊失去了color(气色)。他心疼不已，worried(担忧)地看着她的照片，思考如何让她开心。他尝试了各种方法：送去办公室的snack(零食)、周末的massage(按摩)预约、她最爱的dessert(甜点)。
1246	cook	/kuːk/	noun	烹饪	2	22	别墅里warm(温馨)的灯光渐渐亮起，顾辰亲自走进厨房，prepare(准备)着晚餐。他的cook(烹饪)技艺excellent(出色)，只为她一人展现。空气中飘散着delicious(美味的)香气，他内心充满了love(爱意)，期待着她回家时的smile(笑容)。他always(总是)想给她最好的...
1247	delicious	/dɪˈlɪʃəs/	adjective	美味的	4	22	别墅里warm(温馨)的灯光渐渐亮起，顾辰亲自走进厨房，prepare(准备)着晚餐。他的cook(烹饪)技艺excellent(出色)，只为她一人展现。空气中飘散着delicious(美味的)香气，他内心充满了love(爱意)，期待着她回家时的smile(笑容)。他always(总是)想给她最好的...
1248	dessert	/dɪˈzɜːt/	noun	甜点	3	22	准备过程中，顾辰遇到了一个难题。他发现她因为工作压力而变得thin(消瘦)，原本红润的脸颊失去了color(气色)。他心疼不已，worried(担忧)地看着她的照片，思考如何让她开心。他尝试了各种方法：送去办公室的snack(零食)、周末的massage(按摩)预约、她最爱的dessert(甜点)。
1249	disappear	/dɪsəˈpiːɹ/	verb	消失	2	22	所有的疲惫在这一刻disappear(消失)。叶婉touched(感动)地抱住他，眼眶泛红。惊喜需要用心，他careful(细心)布置的每一个场景，都sincere(真诚)表达着他的爱意。他有些nervous(紧张)，担心她是否喜欢，但同时也excited(兴奋)。他spend(花费)大量时间准备，...
1250	dish	/dɪʃ/	noun, verb	菜肴	2	22	傍晚时分，叶婉推开家门的那一刻，shocked(震惊)得说不出话来。满屋的玫瑰花瓣铺成一条小路，candle(蜡烛)的光芒柔和而浪漫。餐桌上摆满了她最爱的dish(菜肴)，香槟在冰桶里等待开启。
1251	element	/ˈɛlɪmənt/	noun, verb	元素	3	22	顾辰打开笔记本，开始plan(策划)这个特殊的夜晚。菜单、音乐、灯光、鲜花，每一个element(元素)都经过careful(仔细的)考虑。这是一个需要care(用心)和sincere(真诚)的过程。他never(从不)吝啬表达爱意，always(总是)想给她惊喜。
